CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,-,-,-,-,"13,800.00",-,-,0.05,"3,000",-0.35,0.05,124.21,"6,015",-859,"2,788"
,-,-,-,-,-,-,-,-,"4,347.65","2,800","13,850.00","2,150",0.05,0.15,"1,100",-0.35,0.05,122.37,"1,436",100,281
,-,-,-,-,-,-,-,-,"4,267.90","2,800","13,900.00",-,-,0.05,850,-0.3,0.05,120.54,"3,434",-50,190
,-,-,-,-,-,-,-,-,"4,240.80","2,800","13,950.00",-,-,0.15,"1,900",-0.25,0.1,124.49,399,-64,135
,-,-,18,282.56,"3,444.65","1,912.55","1,000","3,315.20","3,433.65",600,"14,000.00",-,-,0.05,50,-0.35,0.05,116.88,"9,885","-1,909","3,885"
,-,-,-,-,-,-,-,-,-,-,"14,050.00",-,-,0.05,150,-0.3,0.05,115.07,"1,848",240,359
,-,-,-,-,-,-,"2,800","2,368.05","4,069.30","2,800","14,100.00",-,-,0.1,"5,400",-0.4,0.05,113.25,"1,394",112,392
,-,-,-,-,-,-,-,-,-,-,"14,150.00",-,-,0.05,400,-0.2,0.05,111.45,300,-50,129
,-,-,-,-,-,-,-,-,"3,974.60","2,800","14,200.00",-,-,0.1,"3,800",-0.3,0.05,109.64,426,44,156
,-,-,-,-,-,-,-,-,-,-,"14,250.00",-,-,0.1,100,-0.3,0.05,107.84,691,-334,252
,-,-,-,-,-,-,-,-,"3,865.95","2,800","14,300.00",-,-,0.1,"2,750",-0.35,0.1,111.29,651,7,140
,-,-,-,-,-,-,-,-,-,-,"14,350.00",-,-,0.05,750,-0.4,0.05,104.26,672,18,60
,-,-,-,-,-,-,-,-,-,-,"14,400.00",-,-,0.1,"2,050",-0.35,0.1,107.56,"2,393",-449,381
,-,-,-,-,-,-,-,-,-,-,"14,450.00",-,-,0.1,"2,800",-0.45,0.1,105.7,306,-30,234
,-,-,-,-,-,-,"2,800","2,047.25",-,-,"14,500.00",-,-,0.05,"26,850",-0.4,0.05,98.92,"33,046","-19,266","2,654"
,-,-,-,-,-,-,-,-,"3,647.00","2,800","14,550.00",-,-,0.05,"16,800",-0.5,0.05,97.15,590,32,113
,-,-,-,-,-,-,-,-,"3,101.85","2,800","14,600.00",-,-,0.05,"19,750",-0.45,0.05,95.39,"16,919","-6,645","3,154"
,-,-,-,-,-,-,-,-,"3,060.60","2,800","14,650.00",-,-,0.05,"14,050",-0.3,0.1,98.32,563,74,341
,-,-,-,-,-,-,-,-,-,-,"14,700.00",-,-,0.05,"16,800",-0.55,0.05,91.87,"7,132","-1,947",929
,-,-,-,-,-,-,-,-,-,-,"14,750.00",550,0.05,0.1,"1,600",-0.5,0.05,90.12,875,125,171
,-,-,-,-,-,-,-,-,-,-,"14,800.00",-,-,0.05,"8,450",-0.5,0.05,88.37,"9,200","-1,715",413
,-,-,-,-,-,-,-,-,"3,324.50","2,800","14,850.00","5,500",0.05,0.2,"2,100",-0.95,0.05,86.62,"4,510",64,317
,-,-,-,-,-,-,-,-,"3,276.40","2,800","14,900.00","1,150",0.05,0.1,"4,900",-0.5,0.05,84.88,"4,065","-1,268",402
,-,-,-,-,-,-,-,-,-,-,"14,950.00",-,-,0.05,"1,550",-0.6,0.05,83.15,"1,354",478,587
,32,-27,48,148.16,"2,385.00",51.25,"2,800","2,103.90","2,432.60",350,"15,000.00",-,-,0.05,"2,31,650",-0.4,0.05,81.41,"53,277","-12,274","9,888"
,-,-,-,-,-,-,-,-,-,-,"15,050.00",-,-,0.15,500,-0.5,0.05,79.68,"3,709",227,355
,-,-,-,-,-,-,-,-,"2,342.60",350,"15,100.00","3,000",0.05,0.1,"8,300",-0.6,0.05,77.96,"4,871",-958,"1,283"
,-,-,-,-,-,-,-,-,-,-,"15,150.00",-,-,0.1,"2,700",-0.6,0.05,76.24,"7,883",324,485
,25,-10,34,147.66,"2,192.40",288.4,-,-,"2,242.60",350,"15,200.00",-,-,0.05,"10,900",-0.7,0.05,74.52,"8,575","-3,015","1,877"
,-,-,-,-,-,-,-,-,-,-,"15,250.00",-,-,0.35,"1,450",-0.4,0.3,72.8,"1,797",344,614
,19,-7,25,-,"2,070.00",70,-,-,"2,142.60",350,"15,300.00",-,-,0.05,50,-0.65,0.1,74.77,"3,055",-286,"1,357"
,2,-,1,136.84,"2,041.00","1,295.65",700,"1,326.20",-,-,"15,350.00",-,-,0.05,650,-0.6,0.1,72.99,"1,985",-106,239
,34,-11,37,128.84,"2,042.60",158.55,50,"1,960.00","2,042.50",500,"15,400.00",-,-,0.05,300,-0.7,0.05,67.68,"5,314",-929,"2,135"
,1,-,-,-,-,-,200,"1,275.00",-,-,"15,450.00",-,-,0.05,"1,800",-0.9,0.05,65.98,"2,428",123,281
,280,-19,235,126.65,"1,890.00",0.15,50,"1,869.00",-,-,"15,500.00",-,-,0.05,"51,750",-0.8,0.05,64.28,"1,10,939","-16,322","14,071"
,6,-,5,-,"1,720.10",158.6,500,"1,772.65",-,-,"15,550.00",-,-,0.05,50,-0.7,0.05,62.58,"4,271",47,417
,109,-12,72,126.32,"1,794.80",59.7,-,-,-,-,"15,600.00",-,-,0.05,350,-0.65,0.05,60.89,"11,213","-2,192","1,934"
,3,-,-,-,-,-,"2,800","1,131.50",-,-,"15,650.00",-,-,0.05,"2,100",-0.9,0.05,59.2,"6,717",154,608
,103,-5,71,101.7,"1,680.80",41.8,50,"1,680.80","1,751.35",350,"15,700.00",-,-,0.05,"13,150",-0.7,0.05,57.51,"15,396","-2,214","4,272"
,6,-,2,151.87,"1,690.00",129.65,"2,800","1,206.70",-,-,"15,750.00",-,-,0.05,"1,950",-0.75,0.05,55.82,"3,648",-170,874
,224,-2,212,99.1,"1,582.55",-14.85,"2,800","1,160.65","1,632.60",350,"15,800.00",-,-,0.1,"7,250",-0.65,0.1,57.04,"42,792","-9,526","8,221"
,23,-1,15,-,"1,475.00",-63.65,"2,800","1,249.25",-,-,"15,850.00",-,-,0.05,"3,750",-0.75,0.1,55.28,"6,826",-150,"1,500"
,275,-77,331,146.36,"1,549.30",45.1,50,"1,300.00","1,522.60",350,"15,900.00",-,-,0.05,"7,450",-0.85,0.05,50.78,"24,209","-1,852","5,835"
,25,-3,8,-,"1,360.00",-90.85,"2,800","1,152.85",-,-,"15,950.00",-,-,0.05,"7,400",-0.8,0.05,49.1,"13,667",-665,"4,904"
,"1,014","-1,062","2,075",89.99,"1,381.00",-11.9,100,"1,382.00","1,398.55",600,"16,000.00",-,-,0.05,"1,07,600",-1.05,0.05,47.42,"2,77,671","-47,738","30,906"
,50,-4,22,-,"1,300.00",-44.1,50,"1,300.00","1,350.00",500,"16,050.00",-,-,0.05,"6,050",-1,0.05,48.26,"18,720",-388,"2,082"
,277,-97,310,82.98,"1,282.95",8.75,600,"1,256.75","1,298.55",600,"16,100.00",-,-,0.05,"22,850",-1.1,0.05,44.08,"62,600","-4,713","8,138"
,68,-38,80,82.71,"1,235.00",-3.1,500,"1,210.00","1,238.40",500,"16,150.00",-,-,0.05,"3,350",-1.15,0.05,42.4,"27,285",-369,"4,003"
,"1,345",-694,"2,233",79.09,"1,184.00",3.55,550,"1,164.40","1,186.85",100,"16,200.00",-,-,0.05,"64,850",-1.3,0.05,40.73,"1,20,339","-20,528","20,015"
,142,-29,155,73.43,"1,132.05",73.95,"2,800",823,"1,135.00",500,"16,250.00",-,-,0.05,"5,000",-1.3,0.05,39.06,"33,564","-1,165","2,944"
,"1,242",-453,"1,311",74.53,"1,085.40",4.8,50,"1,082.00","1,087.00",500,"16,300.00",-,-,0.05,"1,02,950",-1.4,0.05,37.39,"1,65,057","-16,140","19,649"
,304,-123,230,65.95,"1,030.55",-8.15,50,890,"1,033.80",500,"16,350.00",-,-,0.05,300,-1.45,0.05,37.75,"44,391","-2,131","2,729"
,"1,283","-1,053","1,955",67.79,984.5,-,50,982,998,550,"16,400.00",-,-,0.05,"75,000",-1.65,0.05,34.05,"2,16,592","-12,369","13,758"
,390,-245,556,65.4,935,-2.2,300,934,950,500,"16,450.00",-,-,0.05,"61,950",-1.75,0.05,32.38,"85,088","-3,357","6,520"
,"2,898","-3,833","7,726",60.13,881.75,-7.55,"1,850",881.75,898.55,600,"16,500.00",-,-,0.05,"1,69,950",-1.95,0.05,30.71,"6,49,274","-51,658","48,308"
,597,-343,701,55.53,831.1,-8.65,50,823.15,834.5,"8,450","16,550.00",-,-,0.05,"26,650",-2.05,0.05,29.04,"93,626","-6,483","8,601"
,"2,273","-2,050","3,434",65.08,782.05,3.8,100,782,798.55,600,"16,600.00",-,-,0.05,"39,950",-2.25,0.05,27.37,"4,76,669","-37,646","31,429"
,908,-87,544,52.23,733.7,-11.4,50,600,749.35,150,"16,650.00",-,-,0.05,"2,150",-2.45,0.05,25.69,"1,46,340","-11,986","9,743"
,"2,484","-2,312","4,036",46.95,682.55,-3.85,50,680,698.55,600,"16,700.00",-,-,0.05,"65,450",-2.75,0.05,24.01,"7,72,415","-62,499","50,818"
,"1,376",-353,"1,006",44.38,631.3,-5.4,100,630.15,933.35,50,"16,750.00",-,-,0.05,"1,700",-3,0.05,22.33,"2,25,863","-15,495","9,896"
,"3,772","-5,163","12,227",43.03,581.2,-3.8,100,576,582,100,"16,800.00",-,-,0.05,"10,750",-3.45,0.05,20.64,"12,62,859","-54,698","80,566"
,"1,274",-310,"2,824",39.87,533.15,-10.75,100,530.2,533.8,"5,650","16,850.00",-,-,0.05,"4,700",-3.7,0.05,18.95,"3,92,362","-16,438","14,624"
,"3,472","-3,358","16,382",36.89,497.85,15.75,350,481.5,488.6,250,"16,900.00",-,-,0.05,"5,98,850",-4.3,0.05,17.26,"15,64,309","-2,103","91,739"
,"1,736","-1,187","7,911",33.58,431,-7.1,50,429.45,432.65,50,"16,950.00",-,-,0.05,"18,750",-5,0.05,15.55,"8,47,302","-25,089","15,971"
,"8,684","-7,258","1,01,757",29.59,382.4,-5.6,400,378.7,383.5,100,"17,000.00",-,-,0.05,"1,97,800",-6.05,0.05,13.84,"43,38,468","-16,815","1,40,137"
,"1,624","-1,045","34,398",26.98,331.3,-7.65,50,331.2,332.7,200,"17,050.00",-,-,0.05,"17,300",-7.6,0.05,12.11,"18,07,061","-17,342","19,386"
,"6,275","-10,496","2,62,048",23.51,282.15,-9.25,50,281.1,282.25,50,"17,100.00",-,-,0.05,"5,850",-9.7,0.05,10.37,"47,44,447","-40,543","63,605"
,"6,044","1,937","2,21,474",20.46,231.75,-11.75,200,231.1,231.75,50,"17,150.00",-,-,0.05,"56,050",-12.95,0.05,8.61,"36,38,822","-1,252","39,992"
,"14,427","-12,668","15,95,214",17.05,181.15,-18.15,600,181.25,181.5,950,"17,200.00",-,-,0.05,"1,39,950",-18.25,0.05,6.82,"85,72,431","-62,093","80,526"
,"14,774",-578,"18,10,966",13.48,131.75,-25.05,"1,750",131.75,132,"4,600","17,250.00",-,-,0.05,"81,400",-26.45,0.05,4.99,"67,73,557","-16,202","51,136"
,"36,123","-44,189","79,48,156",9.61,81.8,-37.4,"2,900",81.8,81.95,150,"17,300.00",-,-,0.05,"1,90,450",-38.6,0.05,3.11,"1,20,60,165","-22,105","1,20,222"
,"50,443","-5,786","80,68,089",5.34,32,-55.85,"5,500",31.95,32,"1,200","17,350.00",-,-,0.05,"9,08,950",-55.05,0.05,1.08,"62,46,410","67,418","1,15,230"
,"2,56,512","1,39,841","1,44,53,458",1.38,0.05,-59.9,-,-,0.05,"6,12,350","17,400.00","4,450",17.95,18,550,-57.35,18,-,"77,05,386","-2,932","53,573"
,"97,747","35,044","66,69,253",3.36,0.05,-38.2,-,-,0.05,"2,48,750","17,450.00",750,67.65,68.05,250,-34,67.7,-,"28,68,112","2,649","14,194"
,"1,68,823","8,158","92,03,899",5.21,0.05,-22.25,-,-,0.05,"5,96,000","17,500.00",950,117.55,118,650,-20.45,117.55,-,"23,43,866","-3,395","10,023"
,"62,337","-11,542","38,70,362",6.99,0.05,-11.9,-,-,0.05,"3,28,150","17,550.00",100,167.65,168.2,250,-9.75,167.65,-,"4,60,000","1,363","2,633"
,"1,47,624","-4,269","47,92,925",8.73,0.05,-5.8,-,-,0.05,"7,58,400","17,600.00",300,217.7,218.2,250,-6.2,218.2,-,"3,38,319",333,"3,486"
,"36,576","-25,845","18,93,781",10.44,0.05,-2.95,-,-,0.05,"1,61,600","17,650.00",200,267.95,268.45,200,-0.8,267.95,-,"61,979",276,587
,"92,442","-31,371","20,95,544",12.12,0.05,-1.9,-,-,0.05,"2,65,200","17,700.00",400,317.2,318.65,50,-2,317.5,-,"50,320",-382,479
,"46,469","-21,248","7,60,703",14.67,0.05,-1.45,"2,12,300",0.05,0.1,"19,100","17,750.00",50,367,369.5,150,1.9,369.35,-,"8,719",19,150
,"1,47,210","15,040","14,04,686",15.4,0.05,-1.15,-,-,0.05,"1,49,400","17,800.00",50,417.15,420,150,1.65,418.65,-,"18,759",-232,272
,"12,570","-4,429","2,18,510",17.01,0.05,-0.95,-,-,0.05,"46,350","17,850.00",50,467.2,473.35,250,-0.4,468.45,-,"1,852",-373,429
,"69,099","10,463","5,15,032",18.61,0.05,-0.9,-,-,0.05,"4,98,350","17,900.00","11,200",512.65,519,50,5.35,515,-,"1,689",-24,100
,"7,430","1,600","89,647",20.19,0.05,-0.8,-,-,0.05,"38,700","17,950.00","2,800",548.4,573.65,200,-10.95,556,-,174,24,34
,"84,923","-13,498","6,48,963",21.76,0.05,-0.75,-,-,0.05,"2,70,800","18,000.00","14,000",612.65,623.65,"14,000",-2.6,618.9,-,"3,094",-488,236
,"1,672",-269,"38,991",23.32,0.05,-0.7,-,-,0.05,"4,100","18,050.00","2,800",636.65,673.65,50,-84.95,669.75,-,23,2,16
,"15,182","-8,339","1,24,532",24.86,0.05,-0.6,-,-,0.05,"35,500","18,100.00",600,702.55,732.85,200,21.3,799,82.86,23,3,17
,"3,455","1,518","37,388",26.39,0.05,-0.65,-,-,0.05,"14,800","18,150.00","2,800",736.65,794.6,100,22.3,783.15,44.71,18,7,8
,"21,807","-6,021","1,15,034",27.91,0.05,-0.55,-,-,0.05,"55,800","18,200.00",600,802.55,832.9,450,20.5,821.45,-,81,6,85
,"1,922",-66,"24,504",29.42,0.05,-0.55,-,-,0.05,"9,450","18,250.00","2,800",837.65,894.6,"1,300",-69.45,894.6,62.2,8,4,5
,"4,697","-3,028","65,298",30.92,0.05,-0.5,-,-,0.05,"26,400","18,300.00",600,902.55,932.9,450,-55.45,850,-,2,1,8
,"1,548",643,"19,220",32.4,0.05,-0.55,-,-,0.05,"1,450","18,350.00","2,800",937.65,994.6,100,-,-,-,-,-,3
,"8,223","-1,322","55,634",33.89,0.05,-0.45,-,-,0.05,"5,900","18,400.00",600,"1,002.55","1,032.90",450,19.4,"1,025.00",-,2,-,3
,"2,211",597,"18,679",35.36,0.05,-0.55,-,-,0.05,"10,400","18,450.00","2,800","1,035.65","1,094.60",100,7.4,"1,051.35",-,5,3,5
,"28,868","-13,867","1,75,896",36.82,0.05,-0.55,-,-,0.05,"1,40,950","18,500.00",50,"1,114.25","1,117.20",50,8.85,"1,117.20",-,18,10,14
,"1,150",530,"14,709",38.27,0.05,-0.5,-,-,0.05,"16,900","18,550.00","2,800",943.25,-,-,13.2,"1,196.70",79.76,4,2,2
,"4,438",-946,"27,564",39.72,0.05,-0.4,-,-,0.05,"46,050","18,600.00","2,800",972.3,-,-,-24.8,"1,177.65",-,5,3,5
,"2,369",669,"11,222",41.16,0.05,-0.4,"37,100",0.05,0.1,"5,350","18,650.00","2,800","1,063.50","1,301.15",400,-,-,-,-,-,-
,"5,835","3,495","18,041",42.59,0.05,-0.35,-,-,0.05,"2,89,550","18,700.00","2,800","1,119.40",-,-,-15.9,"1,294.85",-,5,2,4
,"1,012",749,"7,205",44.01,0.05,-0.4,-,-,0.05,"22,100","18,750.00","1,050",873.8,-,-,-,-,-,-,-,-
,"4,363",179,"10,944",45.43,0.05,-0.45,-,-,0.05,"53,600","18,800.00","2,800","1,209.05",-,-,-,-,-,-,-,-
,"1,641",-358,"5,512",46.84,0.05,-0.45,-,-,0.05,"11,500","18,850.00","2,800",950.15,"2,304.80",100,-,-,-,-,-,-
,"1,270",-,"9,635",48.24,0.05,-2.15,-,-,0.05,"16,250","18,900.00",100,"1,418.30",-,-,"-1,401.40","1,435.30",-,2,-,-
